Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,361.899994,376.549988,361.100006,370.950012,365.694366,2913484
2022-06-30,371.000000,374.500000,351.000000,353.250000,348.245148,2151632
2022-07-01,353.700012,357.100006,343.549988,349.450012,344.498962,1752456
2022-07-04,354.899994,357.549988,342.500000,344.850006,339.964142,2128360
2022-07-05,348.000000,349.750000,343.250000,344.049988,339.175446,2196450
2022-07-06,346.000000,347.500000,337.250000,339.950012,335.133575,1848847
2022-07-07,343.899994,344.299988,338.500000,340.500000,335.675781,2211420
2022-07-08,344.000000,347.399994,341.700012,343.649994,338.781128,1774915
2022-07-11,342.000000,342.000000,328.350006,337.750000,332.964752,2828231
2022-07-12,337.000000,343.000000,334.049988,336.750000,331.978912,2274166
2022-07-13,340.399994,346.799988,337.000000,345.700012,340.802124,2578766
2022-07-14,336.649994,341.850006,315.799988,317.549988,315.791351,6740664
2022-07-15,321.000000,321.899994,306.799988,309.600006,307.885406,5485081
2022-07-18,312.350006,320.899994,311.049988,318.000000,316.238892,3009874
2022-07-19,317.000000,328.649994,315.899994,327.799988,325.984589,3213676
2022-07-20,334.799988,336.549988,329.549988,335.250000,333.393341,2798736
2022-07-21,336.750000,340.299988,333.549988,338.399994,336.525909,2604631
2022-07-22,340.000000,343.500000,331.750000,333.500000,331.653046,1545422
2022-07-25,333.000000,335.899994,330.250000,332.750000,330.907196,1018447
2022-07-26,333.700012,333.700012,317.450012,319.450012,317.680878,2231893
2022-07-27,318.000000,327.750000,316.000000,326.000000,324.194580,2370041
2022-07-28,330.000000,331.500000,325.799988,329.299988,327.476288,2517947
2022-07-29,333.000000,340.750000,331.600006,336.000000,334.139191,2514792
2022-08-01,339.100006,343.500000,334.799988,342.399994,340.503754,1880283
2022-08-02,342.200012,342.399994,333.500000,334.549988,332.697205,1732053
2022-08-03,335.399994,347.000000,334.299988,342.350006,340.454041,4939662
2022-08-04,343.000000,354.950012,342.549988,350.149994,348.210815,5268225
2022-08-05,353.250000,353.250000,344.600006,345.950012,344.034119,2178320
